key,instantiationMoment,startDate,endDate,picture,slogan,link
banner-26,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,K,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-27,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,Ke,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-28,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,Keep visiting us and our lovely lands.,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-29,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,Keep visiting us for fresh updates every day! There's always something new,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-30,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,Keep visiting us for fresh updates every day! There's always something new!,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
"        # Content #"
banner-31,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,Это пример строки на кириллице которая довольно длинная.,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-32,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,'; SELECT * FROM users WHERE '1'='1' --,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-33,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,<div><h2>¡Bienvenido a nuestra página web!</h2><p>Disfruta.</p></div>,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-34,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,🌟🚀🌈✨💻🔒🧬🎨🎉🎯💡🎈🌟🚀🌈✨💻🔒🧬🎨🎉🎯💡🎈,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-35,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,os.system('rm -rf /'),https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
"# Active banners to show on home page #"
banner-36,2021/12/04 15:42,2022/01/14 14:00,2025/01/15 16:45,https://i.imgur.com/sNMZ1iS.png,Cyber Monday sales! Are you ready?,https://es.wikipedia.org/wiki/Ciberlunes
banner-37,2019/09/26 03:45,2020/03/17 00:32,2023/10/31 00:00,https://i.imgur.com/oF84FrR.png,The best furniture in market,https://es.wikipedia.org/wiki/Mobiliario
banner-38,2022/01/01 18:30,2022/06/01 23:10,2024/12/04 10:53,https://i.imgur.com/2LXiRla.png,What do you need to move?,https://es.wikipedia.org/wiki/Log%C3%ADstica
banner-39,2018/02/28 17:00,2019/12/18 04:59,2022/11/13 19:31,https://i.imgur.com/7lbmrDA.png,Best quality jewelry!,https://es.wikipedia.org/wiki/Joyer%C3%ADa
banner-40,2020/07/04 01:40,2021/02/13 15:00,2030/05/11 15:43,https://i.imgur.com/RlxXchS.png,Visit Maldives! Really exotic,https://es.wikipedia.org/wiki/Maldivas
banner-41,2017/10/24 20:59,2020/12/04 13:55,2023/12/07 11:29,https://i.imgur.com/QRpiPab.png,Technology for everyone,https://es.wikipedia.org/wiki/Tecnolog%C3%ADa
banner-42,2022/01/15 15:33,2022/01/18 09:51,2022/12/31 09:31,https://i.imgur.com/FdIGSA3.png,Gorgeous family house on sale!,https://es.wikipedia.org/wiki/Casa
