key,name,benefits,web_page,email_contact,key:userAccount
sponsor-19,Sponsorship S.A,We make really good sponsorships for everyone!,https://www.ejemplo-con-números.com/datos/documento?query=algo&cat[]=primero&cat[]=segundo#inicio-seccion,sponsor.sa@acme.com,user-account-sponsor-19
sponsor-20,Sponsorship S.A,We make really good sponsorships for everyone!,http://api.dominio-nuevo_2024.net/servicio/recurso?opcion=true&lista[]=primero&lista[]=tercero#parte-2,sponsor.sa@acme.com,user-account-sponsor-20
sponsor-21,Sponsorship S.A,We make really good sponsorships for everyone!,ftp://usuario@archivos.ftp-ejemplo567.org:3030/carpetas/extraño/?archivo=doc1&tipo=texto#detalle,sponsor.sa@acme.com,user-account-sponsor-21
"# Possible values on EmailContact #"
"          # Length #"
sponsor-22,Sponsorship S.A,We make really good sponsorships for everyone!,http://sponsorships-sa.com,null,user-account-sponsor-22
sponsor-23,Sponsorship S.A,We make really good sponsorships for everyone!,http://sponsorships-sa.com,s@a.es,user-account-sponsor-23
sponsor-24,Sponsorship S.A,We make really good sponsorships for everyone!,http://sponsorships-sa.com,s@ac.es,user-account-sponsor-24
sponsor-25,Sponsorship S.A,We make really good sponsorships for everyone!,http://sponsorships-sa.com,lorem-ipsum@dolor.sit.amet.consectetur.adicing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.pater.org,user-account-sponsor-25
sponsor-26,Sponsorship S.A,We make really good sponsorships for everyone!,http://sponsorships-sa.com,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolore.org,user-account-sponsor-26
sponsor-27,Sponsorship S.A,We make really good sponsorships for everyone!,http://sponsorships-sa.com,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolores.org,user-account-sponsor-27
"          # Content #"
sponsor-28,Sponsorship S.A,We make really good sponsorships for everyone!,http://sponsorships-sa.com,admin@[192.168.1.100],user-account-sponsor-28
sponsor-29,Sponsorship S.A,We make really good sponsorships for everyone!,http://sponsorships-sa.com,user%info@sub-domain.with-numbers123.example.org,user-account-sponsor-29
sponsor-30,Sponsorship S.A,We make really good sponsorships for everyone!,http://sponsorships-sa.com,service@custom-domain.with-special_chars123.info,user-account-sponsor-30
sponsor-31,Sponsorship S.A,We make really good sponsorships for everyone!,http://sponsorships-sa.com,name.surname+alias@very-long-domain_with-variations-and-numbers123.com,user-account-sponsor-31
